iter	Passed	Remaining
445	1153	1432
446	1154	1428
447	1157	1425
448	1159	1422
449	1163	1421
450	1165	1418
451	1167	1415
452	1169	1412
453	1171	1408
454	1173	1405
455	1175	1402
456	1178	1399
457	1180	1396
458	1182	1393
459	1183	1389
460	1185	1386
461	1187	1383
462	1189	1379
463	1192	1377
464	1194	1374
465	1196	1371
466	1198	1367
467	1200	1364
468	1202	1361
469	1204	1357
470	1207	1356
471	1209	1353
472	1211	1350
473	1213	1347
474	1215	1343
475	1218	1341
476	1221	1339
477	1224	1337
478	1226	1334
479	1228	1331
480	1230	1328
481	1233	1325
482	1235	1322
483	1238	1319
484	1239	1316
485	1241	1313
486	1243	1310
487	1245	1306
488	1247	1303
489	1249	1300
490	1252	1298
491	1254	1295
492	1256	1292
493	1258	1289
494	1260	1286
495	1262	1283
496	1264	1280
497	1268	1278
498	1270	1275
499	1272	1272
500	1274	1269
501	1276	1266
502	1278	1263
503	1281	1261
504	1284	1258
505	1286	1255
506	1288	1252
507	1290	1249
508	1292	1246
509	1293	1243
510	1296	1240
511	1298	1237
512	1300	1235
513	1302	1231
514	1304	1228
515	1306	1225
516	1308	1222
517	1311	1220
518	1313	1217
519	1315	1214
520	1317	1211
521	1319	1208
522	1321	1205
523	1323	1202
524	1326	1200
525	1328	1197
526	1330	1194
527	1332	1191
528	1334	1187
529	1336	1185
530	1338	1182
531	1340	1179
532	1343	1176
533	1345	1173
534	1347	1170
535	1348	1167
536	1351	1164
537	1353	1162
538	1355	1159
539	1358	1157
540	1360	1153
541	1362	1151
542	1364	1148
543	1366	1145
544	1368	1142
545	1372	1141
546	1375	1138
547	1377	1136
548	1380	1133
549	1382	1130
550	1384	1128
551	1387	1125
552	1389	1123
553	1391	1120
554	1393	1117
555	1395	1114
556	1397	1111
557	1399	1108
558	1401	1105
559	1404	1103
560	1406	1100
561	1408	1097
562	1410	1094
563	1411	1091
564	1413	1088
565	1416	1086
566	1418	1083
567	1420	1080
568	1422	1077
569	1424	1074
570	1426	1071
571	1428	1069
572	1430	1066
573	1433	1063
574	1435	1060
575	1437	1057
576	1439	1055
577	1441	1052
578	1443	1049
579	1445	1046
580	1448	1044
581	1450	1041
582	1452	1038
583	1454	1035
584	1456	1033
585	1458	1030
586	1460	1027
587	1463	1025
588	1464	1022
589	1466	1019
590	1468	1016
591	1471	1013
592	1473	1011
593	1478	1010
594	1480	1008
595	1483	1005
596	1485	1002
597	1487	1000
598	1490	997
599	1492	995
600	1494	992
601	1496	989
602	1498	986
603	1500	983
604	1502	981
605	1504	978
606	1507	976
607	1510	973
608	1512	970
609	1514	968
610	1516	965
611	1518	962
612	1520	959
613	1522	957
614	1524	954
615	1526	951
616	1528	949
617	1530	946
618	1532	943
619	1535	941
620	1537	938
621	1539	935
622	1541	933
623	1543	930
624	1545	927
625	1547	924
626	1550	922
627	1552	919
628	1554	916
629	1556	914
630	1559	911
631	1561	909
632	1563	906
633	1565	903
634	1567	901
635	1569	898
636	1571	895
637	1574	893
638	1576	890
639	1578	887
640	1580	885
641	1582	882
642	1584	879
643	1586	876
644	1589	874
645	1591	872
646	1594	870
647	1597	867
648	1599	865
649	1601	862
650	1603	859
651	1605	857
652	1607	854
653	1609	851
654	1611	848
655	1614	846
656	1616	843
657	1618	841
658	1621	838
659	1623	836
660	1628	834
661	1630	832
662	1633	830
663	1636	827
664	1638	825
665	1641	823
666	1643	820
667	1645	817
668	1647	815
669	1650	812
670	1652	810
671	1654	807
672	1656	804
673	1658	802
674	1660	799
675	1662	797
676	1664	794
677	1667	792
678	1670	789
679	1672	787
680	1675	784
681	1677	782
682	1680	779
683	1683	777
684	1685	775
685	1688	772
686	1690	770
687	1692	767
688	1695	765
689	1698	763
690	1701	760
691	1704	758
692	1706	756
693	1709	753
694	1711	751
695	1713	748
696	1716	746
697	1718	743
698	1721	741
699	1724	738
700	1726	736
701	1729	733
702	1731	731
703	1734	729
704	1736	726
705	1739	724
706	1741	721
707	1743	719
708	1746	716
709	1748	714
710	1750	711
711	1752	708
712	1754	706
713	1756	703
714	1758	701
715	1760	698
716	1762	695
717	1764	693
718	1766	690
719	1768	687
720	1770	685
721	1772	682
722	1774	679
723	1776	677
724	1778	674
725	1780	672
726	1782	669
727	1784	666
728	1786	664
729	1788	661
730	1791	659
731	1793	656
732	1795	653
733	1797	651
734	1799	648
735	1801	646
736	1803	643
737	1805	641
738	1808	638
739	1810	636
740	1812	633
741	1814	630
742	1816	628
743	1818	625
744	1820	623
745	1822	620
746	1824	618
747	1826	615
748	1828	612
749	1830	610
750	1832	607
751	1834	605
752	1836	602
753	1838	599
754	1840	597
755	1842	594
756	1845	592
757	1847	589
758	1849	587
759	1852	584
760	1854	582
761	1856	579
762	1858	577
763	1860	574
764	1862	572
765	1864	569
766	1866	566
767	1868	564
768	1869	561
769	1871	559
770	1873	556
771	1875	554
772	1878	551
773	1880	549
774	1882	546
775	1884	543
776	1886	541
777	1888	538
778	1890	536
779	1892	533
780	1894	531
781	1896	528
782	1898	526
783	1900	523
784	1903	521
785	1905	518
786	1907	516
787	1909	513
788	1911	511
789	1913	508
790	1916	506
791	1918	503
792	1919	501
793	1921	498
794	1923	496
795	1925	493
796	1927	491
797	1929	488
798	1931	485
799	1933	483
800	1935	480
801	1937	478
802	1939	475
803	1941	473
804	1943	470
805	1945	468
806	1947	465
807	1949	463
808	1951	460
809	1953	458
810	1955	455
811	1957	453
812	1959	450
813	1962	448
814	1964	445
815	1966	443
816	1969	441
817	1971	438
818	1973	436
819	1975	433
820	1977	431
821	1979	428
822	1981	426
823	1983	423
824	1985	421
825	1986	418
826	1988	416
827	1990	413
828	1992	411
829	1994	408
830	1996	406
831	1998	403
832	2000	401
833	2002	398
834	2004	396
835	2006	393
836	2008	391
837	2010	388
838	2012	386
839	2014	383
840	2016	381
841	2018	378
842	2020	376
843	2023	373
844	2025	371
845	2027	369
846	2029	366
847	2031	364
848	2033	361
849	2034	359
850	2036	356
851	2038	354
852	2040	351
853	2042	349
854	2044	346
855	2046	344
856	2048	341
857	2049	339
858	2051	336
859	2053	334
860	2055	331
861	2057	329
862	2059	326
863	2061	324
864	2064	322
865	2066	319
866	2068	317
867	2070	314
868	2071	312
869	2073	309
870	2075	307
871	2078	305
872	2080	302
873	2083	300
874	2086	298
875	2090	295
876	2092	293
877	2095	291
878	2099	288
879	2102	286
880	2106	284
881	2109	282
882	2113	280
883	2117	277
884	2120	275
885	2124	273
886	2129	271
887	2132	269
888	2135	266
889	2138	264
890	2140	261
891	2143	259
892	2145	257
893	2148	254
894	2151	252
895	2154	250
896	2157	247
897	2161	245
898	2164	243
899	2167	240
900	2171	238
901	2174	236
902	2179	234
903	2184	232
904	2190	229
905	2193	227
906	2198	225
907	2200	222
908	2203	220
909	2206	218
910	2209	215
911	2212	213
912	2214	211
913	2217	208
914	2219	206
915	2222	203
916	2225	201
917	2228	199
918	2231	196
919	2234	194
920	2237	191
921	2241	189
922	2244	187
923	2246	184
924	2249	182
925	2252	180
926	2255	177
927	2259	175
928	2262	172
929	2264	170
930	2268	168
931	2271	165
932	2274	163
933	2279	161
934	2284	158
935	2287	156
936	2291	154
937	2294	151
938	2298	149
939	2301	146
940	2306	144
941	2310	142
942	2313	139
943	2315	137
944	2318	134
945	2321	132
946	2324	130
947	2327	127
948	2330	125
949	2334	122
950	2339	120
951	2347	118
952	2350	115
953	2353	113
954	2358	111
955	2361	108
956	2364	106
957	2368	103
958	2375	101
959	2378	99
960	2385	96
961	2390	94
962	2393	91
963	2395	89
964	2399	87
965	2402	84
966	2405	82
967	2408	79
968	2411	77
969	2414	74
970	2417	72
971	2419	69
972	2422	67
973	2426	64
974	2428	62
975	2431	59
976	2435	57
977	2437	54
978	2440	52
979	2444	49
980	2447	47
981	2449	44
982	2452	42
983	2455	39
984	2457	37
985	2461	34
986	2467	32
987	2470	30
988	2472	27
989	2474	24
990	2477	22
991	2479	19
992	2482	17
993	2484	14
994	2486	12
995	2489	9
996	2491	7
997	2494	4
998	2496	2
999	2498	0
